Date,Location,trip_hour,trip_distance_km,trip_duration_min,location_pressure_index,peak_hour,rain_probability,rain_pred_label,rain_risk_level,base_price,demand_supply_multiplier,rain_multiplier,total_multiplier,price_without_rain_signal,price_with_rain_signal,rain_increment,rain_increment_pct
2012-03-27,Brisbane,17,3.239,14.66,0.0,1,0.522,Yes,moderate,14.73,1.18,1.161,1.37,17.381,20.182,2.801,16.115
2009-10-13,Cobar,19,5.664,15.624,0.5,1,0.395,No,moderate,18.409,1.29,1.082,1.396,23.747,25.691,1.944,8.184
2011-07-25,Launceston,12,2.238,12.714,0.5,0,0.233,No,low,12.561,1.11,1.007,1.118,13.942,14.047,0.104,0.749
2008-12-21,Albany,7,1.0,4.0,0.16666666666666666,1,0.805,Yes,very_high,7.23,1.217,1.377,1.676,8.796,12.116,3.32,37.74
2015-08-16,Portland,15,7.408,21.401,0.8333333333333334,0,0.969,Yes,very_high,23.19,1.183,1.521,1.8,27.441,41.743,14.302,52.12
2012-08-24,Penrith,4,13.051,26.224,0.3333333333333333,0,0.046,No,low,32.833,1.073,1.0,1.073,35.241,35.241,0.0,0.0
2013-05-21,Nhil,19,5.27,20.571,0.6666666666666666,1,0.785,Yes,high,19.954,1.327,1.36,1.805,26.472,36.007,9.535,36.018
2011-10-09,CoffsHarbour,16,4.237,13.357,0.6666666666666666,1,0.393,No,moderate,15.53,1.327,1.081,1.434,20.603,22.264,1.661,8.062
2012-03-25,NorfolkIsland,18,4.894,11.961,1.0,1,0.346,No,low,15.83,1.4,1.055,1.477,22.162,23.384,1.222,5.513
2015-04-19,SalmonGums,10,10.444,24.826,0.16666666666666666,0,0.353,No,moderate,28.727,1.037,1.059,1.098,29.78,31.539,1.759,5.905
2017-01-08,MelbourneAirport,22,5.313,15.361,0.8333333333333334,0,0.613,Yes,high,17.824,1.183,1.225,1.45,21.092,25.847,4.756,22.548
2013-10-22,Albury,20,7.643,18.353,0.3333333333333333,0,0.93,Yes,very_high,22.227,1.073,1.486,1.595,23.857,35.448,11.591,48.586
2012-06-29,Perth,18,7.425,24.81,0.5,1,0.095,No,low,24.644,1.29,1.0,1.29,31.791,31.791,0.0,0.0
2015-04-22,Canberra,7,8.942,22.549,0.3333333333333333,1,0.123,No,low,25.742,1.253,1.0,1.253,32.264,32.264,0.0,0.0
2011-12-28,Ballarat,13,4.171,11.799,0.8333333333333334,0,0.335,No,low,14.787,1.183,1.05,1.242,17.498,18.367,0.869,4.969
2017-03-13,GoldCoast,3,3.024,11.872,0.0,0,0.884,Yes,very_high,13.269,1.0,1.445,1.445,13.269,19.173,5.904,44.491
2014-06-14,Moree,7,6.53,15.474,0.0,1,0.832,Yes,very_high,19.514,1.18,1.4,1.652,23.027,32.242,9.215,40.018
2015-01-07,PearceRAAF,17,8.541,21.226,0.16666666666666666,1,0.052,No,low,24.645,1.217,1.0,1.217,29.985,29.985,0.0,0.0
2016-11-07,Uluru,18,9.588,23.13,1.0,1,0.372,No,moderate,26.858,1.4,1.069,1.497,37.601,40.194,2.592,6.895
2016-08-22,Nhil,22,11.257,29.049,0.6666666666666666,0,0.587,Yes,moderate,31.598,1.147,1.207,1.384,36.232,43.718,7.486,20.66
2009-10-17,GoldCoast,9,8.053,21.594,0.0,1,0.014,No,low,24.141,1.18,1.0,1.18,28.486,28.486,0.0,0.0
2010-10-24,PerthAirport,10,2.897,10.93,0.6666666666666666,0,0.012,No,low,12.702,1.147,1.0,1.147,14.565,14.565,0.0,0.0
2016-11-03,CoffsHarbour,13,5.265,13.837,0.6666666666666666,0,0.182,No,low,17.12,1.147,1.0,1.147,19.63,19.63,0.0,0.0
2011-11-13,Melbourne,7,4.949,12.179,0.6666666666666666,1,0.737,Yes,high,15.997,1.327,1.321,1.753,21.223,28.036,6.814,32.106
2014-07-03,Watsonia,6,4.581,11.504,0.3333333333333333,0,0.144,No,low,15.217,1.073,1.0,1.073,16.332,16.332,0.0,0.0
2011-06-09,NorfolkIsland,13,6.539,21.75,1.0,0,0.885,Yes,very_high,22.162,1.22,1.446,1.764,27.038,39.104,12.066,44.628
2016-03-01,BadgerysCreek,7,3.899,11.037,0.6666666666666666,1,0.122,No,low,14.1,1.327,1.0,1.327,18.706,18.706,0.0,0.0
2011-03-18,Walpole,17,3.903,20.993,0.16666666666666666,1,0.46,No,moderate,18.287,1.217,1.121,1.364,22.249,24.935,2.686,12.071
2010-02-10,SydneyAirport,12,13.546,35.54,0.5,0,0.081,No,low,37.414,1.11,1.0,1.11,41.53,41.53,0.0,0.0
2009-01-28,Townsville,19,4.329,9.771,0.6666666666666666,1,0.993,Yes,very_high,14.148,1.327,1.543,2.047,18.769,28.964,10.195,54.319
2010-08-22,Wollongong,17,8.901,25.433,0.8333333333333334,1,0.134,No,low,26.898,1.363,1.0,1.363,36.671,36.671,0.0,0.0
2015-05-16,Cobar,9,9.231,21.839,0.5,1,0.012,No,low,25.834,1.29,1.0,1.29,33.326,33.326,0.0,0.0
2013-08-08,Richmond,19,5.365,30.827,1.0,1,0.323,No,low,24.39,1.4,1.044,1.461,34.146,35.638,1.492,4.369
2017-04-20,Walpole,19,4.015,14.826,0.16666666666666666,1,0.317,No,low,15.848,1.217,1.041,1.267,19.281,20.076,0.795,4.122
2014-05-17,Richmond,11,2.313,9.993,1.0,0,0.003,No,low,11.519,1.22,1.0,1.22,14.054,14.054,0.0,0.0
2014-06-12,Ballarat,8,1.104,7.344,0.8333333333333334,1,0.965,Yes,very_high,8.775,1.363,1.518,2.069,11.964,18.159,6.196,51.786
2011-11-15,Watsonia,17,6.85,16.623,0.3333333333333333,1,0.409,No,moderate,20.428,1.253,1.09,1.366,25.604,27.904,2.3,8.984
2010-03-01,Woomera,6,5.962,18.464,1.0,0,0.005,No,low,20.004,1.22,1.0,1.22,24.404,24.404,0.0,0.0
2013-03-05,Ballarat,7,7.52,22.766,0.8333333333333334,1,0.226,No,low,23.913,1.363,1.005,1.371,32.602,32.776,0.174,0.533
2008-09-10,Canberra,0,3.174,14.155,0.3333333333333333,0,0.066,No,low,14.429,1.073,1.0,1.073,15.487,15.487,0.0,0.0
2016-08-12,Cairns,18,14.399,33.514,0.16666666666666666,1,0.278,No,low,37.715,1.217,1.024,1.245,45.886,46.967,1.081,2.356
2009-04-11,MountGinini,17,6.318,21.761,0.3333333333333333,1,0.467,No,moderate,21.868,1.253,1.125,1.41,27.408,30.84,3.432,12.521
2012-05-11,Mildura,17,4.213,19.99,1.0,1,0.062,No,low,18.283,1.4,1.0,1.4,25.597,25.597,0.0,0.0
2015-04-10,BadgerysCreek,18,1.0,5.851,0.6666666666666666,1,0.434,No,moderate,8.008,1.327,1.105,1.466,10.623,11.738,1.114,10.488
2016-08-25,Moree,13,3.448,12.013,0.0,0,0.625,Yes,high,13.9,1.0,1.234,1.234,13.9,17.158,3.259,23.444
2012-02-16,Sydney,15,7.752,21.54,0.3333333333333333,0,0.036,No,low,23.713,1.073,1.0,1.073,25.451,25.451,0.0,0.0
2009-04-19,Canberra,6,11.075,26.793,0.3333333333333333,0,0.163,No,low,30.405,1.073,1.0,1.073,32.634,32.634,0.0,0.0
2010-04-27,Portland,6,4.694,16.989,0.8333333333333334,0,0.645,Yes,high,17.672,1.183,1.249,1.478,20.912,26.124,5.212,24.925
2012-11-12,CoffsHarbour,17,12.213,46.19,0.6666666666666666,1,0.039,No,low,40.087,1.327,1.0,1.327,53.182,53.182,0.0,0.0
2016-10-13,Cairns,13,2.172,8.14,0.16666666666666666,0,0.414,No,moderate,10.551,1.037,1.093,1.133,10.938,11.95,1.012,9.256
2011-02-02,Cairns,15,6.083,29.735,0.16666666666666666,0,0.995,Yes,very_high,24.901,1.037,1.546,1.603,25.814,39.904,14.09,54.583
2009-05-05,NorfolkIsland,18,6.199,16.866,1.0,1,0.209,No,low,19.652,1.4,1.001,1.402,27.513,27.55,0.038,0.137
2011-12-29,Albany,16,6.886,18.502,0.16666666666666666,1,0.365,No,moderate,21.267,1.217,1.065,1.296,25.874,27.568,1.693,6.544
2010-05-03,Watsonia,15,5.15,15.76,0.3333333333333333,0,0.139,No,low,17.772,1.073,1.0,1.073,19.075,19.075,0.0,0.0
2011-06-24,Dartmoor,15,5.862,18.976,0.8333333333333334,0,0.902,Yes,very_high,20.084,1.183,1.461,1.729,23.766,34.733,10.967,46.146
2015-06-20,SalmonGums,9,2.129,13.727,0.16666666666666666,1,0.752,Yes,high,12.84,1.217,1.333,1.622,15.621,20.828,5.206,33.329
2014-01-08,GoldCoast,2,10.415,28.578,0.0,0,0.901,Yes,very_high,30.262,1.0,1.46,1.46,30.262,44.187,13.924,46.012
2009-01-30,GoldCoast,12,8.347,22.769,0.0,0,0.881,Yes,very_high,25.031,1.0,1.442,1.442,25.031,36.106,11.075,44.244
2014-04-14,Sale,7,5.708,19.815,0.0,1,0.127,No,low,20.229,1.18,1.0,1.18,23.87,23.87,0.0,0.0
2011-01-11,Adelaide,11,8.472,20.329,0.0,0,0.729,Yes,high,24.176,1.0,1.315,1.315,24.176,31.792,7.616,31.502
2014-06-15,Watsonia,19,10.624,34.476,0.3333333333333333,1,0.764,Yes,high,33.022,1.253,1.343,1.683,41.388,55.581,14.193,34.292
2010-10-19,Walpole,8,6.82,18.33,0.16666666666666666,1,0.132,No,low,21.106,1.217,1.0,1.217,25.679,25.679,0.0,0.0
2009-04-10,Penrith,4,15.361,36.955,0.3333333333333333,0,0.244,No,low,40.459,1.073,1.011,1.085,43.426,43.906,0.481,1.107
2014-02-06,Sale,8,7.195,15.566,0.0,1,0.007,No,low,20.451,1.18,1.0,1.18,24.132,24.132,0.0,0.0
2014-03-25,Albany,8,2.409,8.255,0.16666666666666666,1,0.264,No,low,10.92,1.217,1.018,1.239,13.286,13.526,0.24,1.806
2010-11-29,Albany,17,5.516,14.391,0.16666666666666666,1,0.019,No,low,17.69,1.217,1.0,1.217,21.523,21.523,0.0,0.0
2010-02-06,Brisbane,15,8.684,24.679,0.0,0,0.69,Yes,high,26.289,1.0,1.283,1.283,26.289,33.739,7.45,28.338
2009-09-16,Dartmoor,18,10.63,23.09,0.8333333333333334,1,0.864,Yes,very_high,28.249,1.363,1.427,1.946,38.512,54.967,16.455,42.725
2015-03-10,Melbourne,17,5.225,20.219,0.6666666666666666,1,0.213,No,low,19.746,1.327,1.002,1.329,26.197,26.252,0.056,0.212
2017-06-13,Darwin,11,2.258,14.765,1.0,0,0.002,No,low,13.449,1.22,1.0,1.22,16.408,16.408,0.0,0.0
2011-06-24,Ballarat,19,3.953,12.464,0.8333333333333334,1,0.404,No,moderate,14.771,1.363,1.087,1.482,20.138,21.892,1.753,8.706
2014-09-10,Richmond,7,1.503,6.935,1.0,1,0.023,No,low,9.141,1.4,1.0,1.4,12.798,12.798,0.0,0.0
2011-11-10,Williamtown,1,7.681,18.119,0.5,0,0.555,Yes,moderate,22.179,1.11,1.184,1.314,24.619,29.141,4.522,18.366
2011-12-29,CoffsHarbour,5,3.416,14.12,0.6666666666666666,0,0.36,No,moderate,14.741,1.147,1.063,1.219,16.903,17.965,1.062,6.283
2014-02-24,Mildura,18,2.72,7.609,1.0,1,0.002,No,low,11.067,1.4,1.0,1.4,15.494,15.494,0.0,0.0
2017-05-07,Darwin,13,8.17,22.982,1.0,0,0.023,No,low,24.881,1.22,1.0,1.22,30.355,30.355,0.0,0.0
2010-01-12,Portland,7,12.061,25.319,0.8333333333333334,1,0.848,Yes,very_high,31.116,1.363,1.414,1.928,42.422,59.981,17.559,41.391
2010-04-05,Witchcliffe,14,2.71,8.081,0.6666666666666666,0,0.809,Yes,very_high,11.253,1.147,1.381,1.583,12.904,17.815,4.911,38.059
2015-12-01,CoffsHarbour,7,5.249,12.994,0.6666666666666666,1,0.457,No,moderate,16.743,1.327,1.119,1.484,22.213,24.848,2.635,11.861
2015-09-11,PerthAirport,17,4.073,13.846,0.6666666666666666,1,0.902,Yes,very_high,15.514,1.327,1.461,1.939,20.583,30.075,9.493,46.119
2014-12-23,Nhil,12,10.939,32.155,0.6666666666666666,0,0.123,No,low,32.473,1.147,1.0,1.147,37.235,37.235,0.0,0.0
2010-02-24,Tuggeranong,11,4.414,18.757,0.8333333333333334,0,0.056,No,low,18.036,1.183,1.0,1.183,21.343,21.343,0.0,0.0
2011-08-12,Wollongong,8,2.086,10.486,0.8333333333333334,1,0.898,Yes,very_high,11.421,1.363,1.457,1.987,15.571,22.69,7.12,45.724
2012-09-02,Dartmoor,16,4.564,11.847,0.8333333333333334,1,0.457,No,moderate,15.337,1.363,1.119,1.525,20.909,23.393,2.484,11.878
2017-01-10,Tuggeranong,10,9.534,20.193,0.8333333333333334,0,0.397,No,moderate,25.553,1.183,1.083,1.281,30.237,32.745,2.508,8.294
2015-01-21,Perth,5,3.903,7.439,0.5,0,0.063,No,low,12.593,1.11,1.0,1.11,13.979,13.979,0.0,0.0
2015-03-22,Dartmoor,6,2.936,8.826,0.8333333333333334,0,0.63,Yes,high,11.87,1.183,1.238,1.465,14.046,17.39,3.344,23.805
2008-11-25,Brisbane,22,4.274,15.243,0.0,0,0.394,No,moderate,16.372,1.0,1.081,1.081,16.372,17.703,1.331,8.128
2012-09-19,Dartmoor,20,2.142,8.932,0.8333333333333334,0,0.462,No,moderate,10.843,1.183,1.122,1.328,12.831,14.396,1.564,12.192
2015-09-12,Williamtown,17,4.07,16.902,0.5,1,0.059,No,low,16.793,1.29,1.0,1.29,21.663,21.663,0.0,0.0
2009-05-18,Cairns,8,3.108,13.587,0.16666666666666666,1,0.055,No,low,14.102,1.217,1.0,1.217,17.158,17.158,0.0,0.0
2010-06-01,Ballarat,22,17.089,44.832,0.8333333333333334,0,0.232,No,low,46.099,1.183,1.007,1.192,54.551,54.945,0.394,0.722
2010-05-19,Sydney,18,1.0,9.663,0.3333333333333333,1,0.591,Yes,moderate,9.609,1.253,1.209,1.516,12.043,14.564,2.521,20.934
2012-04-07,Walpole,17,2.401,10.8,0.16666666666666666,1,0.059,No,low,11.977,1.217,1.0,1.217,14.573,14.573,0.0,0.0
2017-01-04,Albany,12,2.934,6.239,0.16666666666666666,0,0.763,Yes,high,10.781,1.037,1.342,1.391,11.176,14.999,3.823,34.204
2011-12-08,Cobar,8,2.154,9.918,0.5,1,0.121,No,low,11.274,1.29,1.0,1.29,14.543,14.543,0.0,0.0
2017-05-08,Woomera,6,6.123,15.029,1.0,0,0.011,No,low,18.778,1.22,1.0,1.22,22.909,22.909,0.0,0.0
2015-02-06,Williamtown,20,2.672,7.794,0.5,0,0.516,Yes,moderate,11.081,1.11,1.157,1.284,12.3,14.229,1.929,15.68
2011-03-03,Sydney,13,1.36,7.426,0.3333333333333333,0,0.147,No,low,9.154,1.073,1.0,1.073,9.826,9.826,0.0,0.0
2014-01-20,Melbourne,7,4.933,13.827,0.6666666666666666,1,0.221,No,low,16.667,1.327,1.004,1.332,22.111,22.198,0.087,0.393
2013-07-13,AliceSprings,9,3.741,10.704,0.5,1,0.348,No,low,13.747,1.29,1.056,1.363,17.733,18.732,0.999,5.636
2012-09-06,Witchcliffe,15,2.772,8.003,0.6666666666666666,0,0.174,No,low,11.304,1.147,1.0,1.147,12.962,12.962,0.0,0.0
2014-02-06,Portland,7,10.768,24.161,0.8333333333333334,1,0.077,No,low,28.885,1.363,1.0,1.363,39.379,39.379,0.0,0.0
2015-09-10,Sydney,19,6.26,17.056,0.3333333333333333,1,0.223,No,low,19.815,1.253,1.004,1.259,24.835,24.946,0.111,0.447
2008-04-16,Canberra,18,5.803,16.047,0.3333333333333333,1,0.011,No,low,18.774,1.253,1.0,1.253,23.53,23.53,0.0,0.0
2010-06-24,Watsonia,18,6.353,17.042,0.3333333333333333,1,0.398,No,moderate,19.934,1.253,1.083,1.358,24.984,27.063,2.079,8.323
2010-05-25,PearceRAAF,12,6.139,12.035,0.16666666666666666,0,0.179,No,low,17.542,1.037,1.0,1.037,18.186,18.186,0.0,0.0
2014-04-18,Penrith,16,3.881,12.051,0.3333333333333333,1,0.188,No,low,14.501,1.253,1.0,1.253,18.175,18.175,0.0,0.0
2017-02-05,Melbourne,16,2.695,9.916,0.6666666666666666,1,0.849,Yes,very_high,12.003,1.327,1.415,1.877,15.923,22.53,6.607,41.49
2009-11-30,Woomera,17,5.008,14.372,1.0,1,0.048,No,low,16.997,1.4,1.0,1.4,23.796,23.796,0.0,0.0
2009-07-01,Richmond,5,3.83,12.239,1.0,0,0.039,No,low,14.51,1.22,1.0,1.22,17.703,17.703,0.0,0.0
2010-11-06,AliceSprings,12,1.0,4.0,0.5,0,0.004,No,low,7.23,1.11,1.0,1.11,8.025,8.025,0.0,0.0
2014-07-23,Watsonia,3,2.001,9.271,0.3333333333333333,0,0.434,No,moderate,10.796,1.073,1.105,1.186,11.587,12.8,1.213,10.469
2012-01-01,Canberra,13,3.485,11.003,0.3333333333333333,0,0.152,No,low,13.526,1.073,1.0,1.073,14.518,14.518,0.0,0.0
2013-10-22,PerthAirport,9,8.282,30.846,0.6666666666666666,1,0.003,No,low,28.336,1.327,1.0,1.327,37.593,37.593,0.0,0.0
2009-01-10,CoffsHarbour,6,5.023,15.376,0.6666666666666666,0,0.067,No,low,17.439,1.147,1.0,1.147,19.997,19.997,0.0,0.0
2015-11-25,SalmonGums,6,2.329,7.24,0.16666666666666666,0,0.186,No,low,10.385,1.037,1.0,1.037,10.766,10.766,0.0,0.0
2013-09-26,Walpole,16,1.859,7.362,0.16666666666666666,1,0.98,Yes,very_high,9.801,1.217,1.532,1.863,11.925,18.263,6.339,53.154
2016-04-09,Sale,7,9.424,25.587,0.0,1,0.135,No,low,27.67,1.18,1.0,1.18,32.65,32.65,0.0,0.0
2013-01-18,GoldCoast,21,4.012,24.531,0.0,0,0.441,No,moderate,19.919,1.0,1.109,1.109,19.919,22.09,2.171,10.897
2010-02-12,Moree,16,1.0,6.088,0.0,1,0.318,No,low,8.107,1.18,1.041,1.229,9.566,9.962,0.395,4.131
2010-04-24,WaggaWagga,10,4.198,14.755,0.0,0,0.999,Yes,very_high,16.064,1.0,1.549,1.549,16.064,24.88,8.817,54.887
2010-08-17,Mildura,16,7.167,15.373,1.0,1,0.635,Yes,high,20.332,1.4,1.242,1.738,28.465,35.347,6.882,24.175
2015-01-25,Darwin,1,1.81,6.207,1.0,0,0.941,Yes,very_high,9.25,1.22,1.496,1.826,11.285,16.887,5.602,49.636
2012-01-24,Richmond,22,4.764,10.881,1.0,0,0.911,Yes,very_high,15.201,1.22,1.469,1.793,18.545,27.25,8.705,46.939
2015-09-30,Melbourne,13,5.078,17.72,0.6666666666666666,0,0.283,No,low,18.498,1.147,1.026,1.176,21.211,21.759,0.547,2.58
2015-11-08,CoffsHarbour,18,1.904,10.391,0.6666666666666666,1,0.97,Yes,very_high,11.135,1.327,1.523,2.02,14.772,22.495,7.723,52.278
2011-09-17,Richmond,5,9.968,21.172,1.0,0,0.016,No,low,26.549,1.22,1.0,1.22,32.39,32.39,0.0,0.0
2010-12-03,Watsonia,13,5.139,15.261,0.3333333333333333,0,0.746,Yes,high,17.547,1.073,1.328,1.426,18.834,25.014,6.18,32.814
2013-04-26,Darwin,13,3.472,7.709,1.0,0,0.006,No,low,12.125,1.22,1.0,1.22,14.793,14.793,0.0,0.0
2012-08-18,MountGambier,21,4.031,10.861,0.16666666666666666,0,0.644,Yes,high,14.204,1.037,1.248,1.294,14.725,18.383,3.658,24.844
2013-07-01,NorfolkIsland,15,1.606,9.699,1.0,0,0.393,No,moderate,10.441,1.22,1.081,1.319,12.738,13.767,1.029,8.081
2010-11-09,Bendigo,13,1.547,9.569,1.0,0,0.044,No,low,10.307,1.22,1.0,1.22,12.575,12.575,0.0,0.0
2012-05-23,Dartmoor,8,3.236,8.748,0.8333333333333334,1,0.954,Yes,very_high,12.242,1.363,1.508,2.056,16.69,25.164,8.474,50.773
2017-02-28,Walpole,9,3.388,9.413,0.16666666666666666,1,0.092,No,low,12.727,1.217,1.0,1.217,15.485,15.485,0.0,0.0
2010-04-07,NorfolkIsland,14,3.843,13.21,1.0,0,0.171,No,low,14.936,1.22,1.0,1.22,18.222,18.222,0.0,0.0
2013-04-17,Williamtown,12,10.523,32.382,0.5,0,0.465,No,moderate,32.007,1.11,1.124,1.248,35.528,39.929,4.402,12.39
2015-02-22,Moree,1,6.918,21.234,0.0,0,0.066,No,low,22.457,1.0,1.0,1.0,22.457,22.457,0.0,0.0
2009-05-06,PerthAirport,19,1.0,4.119,0.6666666666666666,1,0.001,No,low,7.28,1.327,1.0,1.327,9.658,9.658,0.0,0.0
2009-04-22,SydneyAirport,20,9.291,27.129,0.5,0,0.841,Yes,very_high,28.137,1.11,1.407,1.562,31.232,43.959,12.726,40.747
2012-11-02,MountGambier,6,3.217,9.336,0.16666666666666666,0,0.099,No,low,12.464,1.037,1.0,1.037,12.921,12.921,0.0,0.0
2016-09-09,Mildura,15,7.354,19.68,1.0,0,0.629,Yes,high,22.394,1.22,1.237,1.51,27.32,33.805,6.485,23.737
2010-04-02,MelbourneAirport,6,3.412,11.28,0.8333333333333334,0,0.087,No,low,13.544,1.183,1.0,1.183,16.026,16.026,0.0,0.0
2016-07-18,Moree,17,4.916,15.803,0.0,1,0.08,No,low,17.474,1.18,1.0,1.18,20.62,20.62,0.0,0.0
2010-12-05,Perth,8,1.713,9.209,0.5,1,0.738,Yes,high,10.381,1.29,1.322,1.705,13.392,17.7,4.309,32.175
2016-08-13,MountGambier,17,5.678,17.796,0.16666666666666666,1,0.863,Yes,very_high,19.34,1.217,1.427,1.736,23.53,33.578,10.048,42.704
2010-10-08,Watsonia,18,7.9,25.506,0.3333333333333333,1,0.086,No,low,25.577,1.253,1.0,1.253,32.057,32.057,0.0,0.0
2010-09-06,Wollongong,18,1.11,11.168,0.8333333333333334,1,0.049,No,low,10.39,1.363,1.0,1.363,14.164,14.164,0.0,0.0
2016-09-01,Melbourne,6,7.978,17.421,0.6666666666666666,0,0.624,Yes,high,22.287,1.147,1.234,1.415,25.556,31.526,5.97,23.358
2010-04-06,Watsonia,21,2.686,8.103,0.3333333333333333,0,0.591,Yes,moderate,11.229,1.073,1.21,1.298,12.053,14.578,2.525,20.953
2013-10-12,Adelaide,8,12.648,42.177,0.0,1,0.431,No,moderate,38.988,1.18,1.103,1.301,46.006,50.733,4.727,10.274
2014-04-10,Portland,2,7.442,17.17,0.8333333333333334,0,0.9,Yes,very_high,21.458,1.183,1.459,1.727,25.392,37.058,11.665,45.94
2011-09-11,Albany,15,6.625,15.64,0.16666666666666666,0,0.027,No,low,19.713,1.037,1.0,1.037,20.436,20.436,0.0,0.0
2014-07-12,MountGinini,10,4.048,14.257,0.3333333333333333,0,0.765,Yes,high,15.653,1.073,1.344,1.443,16.801,22.586,5.785,34.432
2010-09-20,Sale,19,19.007,36.253,0.0,1,0.321,No,low,45.086,1.18,1.043,1.231,53.201,55.498,2.297,4.317
2009-06-29,WaggaWagga,19,3.232,11.425,0.0,1,0.481,No,moderate,13.362,1.18,1.134,1.338,15.767,17.875,2.108,13.37
2016-12-04,Penrith,9,2.04,7.801,0.3333333333333333,1,0.3,No,low,10.231,1.253,1.033,1.295,12.823,13.247,0.424,3.305
2012-07-18,NorahHead,21,2.76,7.665,0.8333333333333334,0,0.127,No,low,11.145,1.183,1.0,1.183,13.189,13.189,0.0,0.0
2009-02-03,Wollongong,8,8.82,23.877,0.8333333333333334,1,0.729,Yes,high,26.135,1.363,1.315,1.792,35.631,46.842,11.211,31.465
2016-03-12,Canberra,14,4.852,18.038,0.3333333333333333,0,0.68,Yes,high,18.326,1.073,1.276,1.37,19.67,25.104,5.434,27.626
2014-12-26,MountGambier,8,4.37,12.639,0.16666666666666666,1,0.005,No,low,15.408,1.217,1.0,1.217,18.747,18.747,0.0,0.0
2009-11-03,MelbourneAirport,21,3.268,9.364,0.8333333333333334,0,0.169,No,low,12.545,1.183,1.0,1.183,14.845,14.845,0.0,0.0
2011-12-03,AliceSprings,7,4.212,13.084,0.5,1,0.327,No,low,15.381,1.29,1.046,1.349,19.842,20.749,0.907,4.572
2012-05-23,Canberra,3,3.101,12.63,0.3333333333333333,0,0.028,No,low,13.692,1.073,1.0,1.073,14.696,14.696,0.0,0.0
2015-07-22,Portland,12,7.036,20.57,0.8333333333333334,0,0.784,Yes,high,22.337,1.183,1.36,1.609,26.432,35.942,9.51,35.978
2014-09-06,Albany,23,3.78,11.543,0.16666666666666666,0,0.973,Yes,very_high,14.151,1.037,1.525,1.581,14.67,22.373,7.703,52.512
2012-02-24,Penrith,20,2.8,8.36,0.3333333333333333,0,0.025,No,low,11.491,1.073,1.0,1.073,12.334,12.334,0.0,0.0
2014-05-12,PearceRAAF,18,8.355,26.313,0.16666666666666666,1,0.681,Yes,high,26.531,1.217,1.276,1.553,32.28,41.201,8.921,27.637
2012-01-02,Mildura,20,2.095,8.092,1.0,0,0.046,No,low,10.426,1.22,1.0,1.22,12.72,12.72,0.0,0.0
2009-02-03,AliceSprings,20,4.899,11.533,0.5,0,0.192,No,low,15.658,1.11,1.0,1.11,17.38,17.38,0.0,0.0
2013-03-02,Canberra,14,1.0,5.723,0.3333333333333333,0,0.128,No,low,7.954,1.073,1.0,1.073,8.537,8.537,0.0,0.0
2015-12-06,Adelaide,9,1.436,5.987,0.0,1,0.297,No,low,8.652,1.18,1.032,1.218,10.21,10.536,0.326,3.191
2015-04-21,Darwin,18,3.489,12.183,1.0,1,0.037,No,low,14.027,1.4,1.0,1.4,19.637,19.637,0.0,0.0
2016-11-26,AliceSprings,17,3.059,9.518,0.5,1,0.039,No,low,12.327,1.29,1.0,1.29,15.902,15.902,0.0,0.0
2014-12-17,Tuggeranong,10,3.055,8.529,0.8333333333333334,0,0.3,No,low,11.907,1.183,1.033,1.222,14.09,14.555,0.465,3.3
