Date,Location,service_zone,weekday,time_bucket,time_bucket_label,rain_probability,rain_risk_level,base_demand_index,demand_index_with_rain,target_zone_demand_with_rain,trip_distance_km,trip_duration_min,pickup_distance_km,relocation_distance_km,current_request_fare,future_request_fare,score_wait,no_rain_score_wait,score_accept,no_rain_score_accept,score_relocate,no_rain_score_relocate,action_with_rain_signal,action_without_rain_signal,action_changed_by_rain_signal,expected_reward_with_rain_policy,expected_reward_no_rain_policy_under_rain,rain_policy_reward_gain
2012-03-27,Brisbane,8,1,2,afternoon,0.5222,moderate,0.4175,0.5595,0.8258,3.4309,14.6254,1.5495,2.3877,14.9743,12.8057,3.1298,2.2074,9.9575,10.0134,5.6609,3.9008,accept,accept,False,9.9575,9.9575,0.0
2009-10-13,Cobar,11,1,3,evening,0.3951,moderate,0.6286,0.7288,0.9108,7.4976,27.9275,1.1933,0.9382,26.0514,23.8121,10.4424,9.2323,16.8157,16.8489,15.6866,16.5151,accept,accept,False,16.8157,16.8157,0.0
2011-07-25,Launceston,18,0,1,morning,0.2332,low,0.5148,0.5667,0.8716,2.7737,11.5237,1.1563,0.6408,12.7845,12.8669,3.2059,2.8676,8.8291,8.8487,8.022,6.6527,accept,accept,False,8.8291,8.8291,0.0
2008-12-21,Albany,2,6,1,morning,0.8052,very_high,0.3866,0.6307,0.8146,4.3607,12.6882,0.2132,0.5599,15.416,19.0495,6.806,4.4485,10.9573,10.9686,11.6606,8.8164,relocate,accept,True,11.6606,10.9573,0.7033
2015-08-16,Portland,34,6,2,afternoon,0.9688,very_high,0.3437,0.6513,0.7882,8.123,22.7906,0.3489,0.9153,24.7381,29.8828,12.6943,8.0348,16.6218,16.6436,17.7751,13.0172,relocate,accept,True,17.7751,16.6218,1.1533
2012-08-24,Penrith,31,4,0,night,0.0458,low,0.4171,0.4238,0.6127,5.8553,13.8082,2.5067,1.7964,17.9041,20.8219,5.5347,5.4631,11.6305,11.6391,8.8817,8.6856,accept,accept,False,11.6305,11.6305,0.0
2013-05-21,Nhil,26,1,3,evening,0.7847,high,0.5264,0.7628,1.0669,0.8,4.9297,2.696,5.665,7.3505,7.6013,1.4218,0.5111,4.8962,5.0364,-0.317,-1.2342,accept,accept,False,4.8962,4.8962,0.0
2011-10-09,CoffsHarbour,12,6,2,afternoon,0.3929,moderate,0.3066,0.4061,0.611,1.0714,5.6141,1.806,1.3586,8.0044,9.8008,0.9291,0.4344,5.673,5.7231,3.5928,2.8588,accept,accept,False,5.673,5.673,0.0
2012-03-25,NorfolkIsland,28,6,3,evening,0.3456,low,0.5922,0.677,0.9244,5.1487,10.0462,2.3334,0.6155,15.3701,15.8635,5.538,4.8561,10.2184,10.2758,10.5908,10.665,relocate,relocate,False,10.5908,10.5908,0.0
2015-04-19,SalmonGums,37,6,1,morning,0.3532,moderate,0.5948,0.6819,0.9072,2.6653,9.8802,0.2092,2.3058,11.9479,13.6408,4.3758,3.7732,8.7645,8.7698,6.9666,5.8786,accept,accept,False,8.7645,8.7645,0.0
2017-01-08,MelbourneAirport,20,6,3,evening,0.6133,high,0.7333,0.907,1.1334,0.9311,7.5469,1.3338,0.5,8.6267,10.2814,3.7327,2.8274,6.1661,6.2218,8.0441,7.672,relocate,relocate,False,8.0441,8.0441,0.0
2013-10-22,Albury,3,1,3,evening,0.9298,very_high,0.5446,0.8367,0.9773,2.5145,8.6828,1.5513,0.6742,11.2414,14.7209,6.1155,3.9349,7.7972,7.8906,10.181,9.359,relocate,relocate,False,10.181,10.181,0.0
2012-06-29,Perth,32,4,3,evening,0.0954,low,0.6909,0.7079,0.9726,5.2833,21.8905,0.4796,2.1044,20.5265,21.482,8.8991,8.7143,13.728,13.7314,13.5345,14.2893,accept,relocate,True,13.728,13.5345,0.1935
2015-04-22,Canberra,10,2,1,morning,0.123,low,0.6394,0.6627,0.939,3.0153,11.8896,0.5855,2.7309,13.2643,13.2724,4.0477,3.8907,9.3741,9.3794,6.484,5.5281,accept,accept,False,9.3741,9.3741,0.0
2011-12-28,Ballarat,6,2,2,afternoon,0.3348,low,0.4977,0.5792,0.8204,4.0645,11.3825,0.106,1.7689,14.4677,18.0739,5.8315,5.0847,10.4396,10.4421,9.7337,8.1803,accept,accept,False,10.4396,10.4396,0.0
2017-03-13,GoldCoast,15,0,0,night,0.8837,very_high,0.3985,0.6726,0.8703,3.2255,9.6936,0.1159,2.268,12.6257,15.9182,5.5326,3.3198,9.2836,9.2903,8.2519,5.4548,accept,accept,False,9.2836,9.2836,0.0
2014-06-14,Moree,22,5,0,night,0.8321,very_high,0.4839,0.7383,0.8853,2.2417,6.8536,2.1798,0.6037,10.1047,9.8369,2.6001,1.3318,6.877,6.9963,6.0858,4.7751,accept,accept,False,6.877,6.877,0.0
2015-01-07,PearceRAAF,30,2,3,evening,0.0519,low,0.6708,0.6787,0.9448,4.6325,15.7305,1.3843,1.7801,17.0607,15.1711,5.1789,5.1179,11.3875,11.3929,8.9743,9.5766,accept,accept,False,11.3875,11.3875,0.0
2016-11-07,Uluru,42,0,3,evening,0.3718,moderate,0.5717,0.6646,0.8768,0.8344,6.1957,2.362,2.3232,7.9286,9.8144,2.2209,1.7586,5.347,5.4092,4.0847,4.2912,accept,accept,False,5.347,5.347,0.0
2016-08-22,Nhil,26,0,3,evening,0.5874,moderate,0.5813,0.7458,1.0135,2.0153,8.0141,1.6853,3.1457,10.2865,8.3191,1.768,1.074,7.1294,7.1971,2.8231,2.3615,accept,accept,False,7.1294,7.1294,0.0
2009-10-17,GoldCoast,15,5,1,morning,0.0142,low,0.5611,0.5627,0.8285,6.6146,19.2017,0.1474,0.9849,21.1945,16.9785,5.1546,5.141,14.5141,14.5142,9.9884,9.0949,accept,accept,False,14.5141,14.5141,0.0
2010-10-24,PerthAirport,33,6,1,morning,0.012,low,0.6736,0.6749,0.9427,1.1047,7.4116,1.1048,1.0583,8.8042,8.9341,1.799,1.7933,6.3939,6.3949,5.2621,4.7828,accept,accept,False,6.3939,6.3939,0.0
2016-11-03,CoffsHarbour,12,3,2,afternoon,0.1815,low,0.462,0.4999,0.7447,3.9182,10.2272,0.4999,2.1449,13.785,14.5482,3.5242,3.2445,9.884,9.8906,6.3599,5.4607,accept,accept,False,9.884,9.884,0.0
2011-11-13,Melbourne,19,6,1,morning,0.7369,high,0.5625,0.781,1.0214,2.836,6.7103,1.039,4.6837,10.8469,9.5562,2.6475,1.5889,7.8773,7.9284,2.0837,0.4796,accept,accept,False,7.8773,7.8773,0.0
2014-07-03,Watsonia,45,3,0,night,0.1442,low,0.3014,0.3299,0.5502,2.6303,10.337,0.7791,3.193,12.0924,12.9786,1.7015,1.5144,8.5931,8.6014,2.7139,2.1771,accept,accept,False,8.5931,8.5931,0.0
2011-06-09,NorfolkIsland,28,3,2,afternoon,0.8853,very_high,0.4759,0.7506,0.8929,7.0402,22.9796,1.1683,1.2727,23.3557,25.2234,11.518,8.0039,15.3122,15.3797,16.0298,12.431,relocate,accept,True,16.0298,15.3122,0.7176
2016-03-01,BadgerysCreek,5,1,1,morning,0.1221,low,0.5344,0.5575,0.7787,7.969,20.0658,0.5597,0.8538,23.3858,22.6361,7.8121,7.5469,15.7906,15.7957,13.1545,12.278,accept,accept,False,15.7906,15.7906,0.0
2011-03-18,Walpole,44,4,2,afternoon,0.4602,moderate,0.5961,0.7174,0.8855,1.6238,7.9304,1.8443,1.6854,9.723,13.0776,4.3068,3.5027,6.6802,6.7395,7.0987,6.2379,relocate,accept,True,7.0987,6.6802,0.4184
2010-02-10,SydneyAirport,39,2,1,morning,0.0811,low,0.5718,0.5857,0.9078,3.4519,13.2682,0.2968,1.1557,14.4327,15.9404,4.8416,4.7297,10.2046,10.2064,9.8778,8.3815,accept,accept,False,10.2046,10.2046,0.0
2009-01-28,Townsville,40,2,3,evening,0.9926,very_high,0.6945,1.0115,1.1824,0.8,7.0742,0.3997,1.598,8.2512,9.9779,4.0629,2.4589,6.3324,6.3579,6.6109,5.9599,relocate,accept,True,6.6109,6.3324,0.2785
2010-08-22,Wollongong,48,6,3,evening,0.134,low,0.6513,0.6772,0.8875,6.7772,16.3794,0.3488,3.3269,20.2286,16.6192,5.9468,5.7283,13.9598,13.9633,7.7076,8.7457,accept,accept,False,13.9598,13.9598,0.0
2015-05-16,Cobar,11,5,1,morning,0.0119,low,0.6903,0.6915,1.034,3.7707,14.3545,1.4521,0.548,15.3193,12.566,3.856,3.848,10.2548,10.2561,9.1503,7.9118,accept,accept,False,10.2548,10.2548,0.0
2013-08-08,Richmond,35,3,3,evening,0.3225,low,0.5675,0.6453,0.8661,1.0327,4.2142,1.83,4.7641,7.3641,8.1669,1.2645,0.9424,5.3189,5.3611,0.1604,0.3643,accept,accept,False,5.3189,5.3189,0.0
2017-04-20,Walpole,44,3,3,evening,0.3174,low,0.7015,0.7777,1.0576,2.0976,10.4634,0.5868,0.5,11.4264,15.0626,5.8765,5.2943,8.2063,8.2196,11.3589,11.2129,relocate,relocate,False,11.3589,11.3589,0.0
2014-05-17,Richmond,35,5,1,morning,0.0026,low,0.5114,0.5115,0.8139,1.4984,6.0885,0.7019,0.5,8.78,7.8011,0.5445,0.5437,6.6382,6.6383,4.467,3.8917,accept,accept,False,6.6382,6.6382,0.0
2014-06-12,Ballarat,6,3,1,morning,0.9651,very_high,0.5197,0.8258,1.0039,1.9987,8.5819,1.973,1.9512,10.5026,11.1486,3.8416,2.1114,7.1181,7.2408,6.2672,4.2257,accept,accept,False,7.1181,7.1181,0.0
2011-11-15,Watsonia,45,1,3,evening,0.409,moderate,0.559,0.6637,0.7842,0.8,5.3846,2.4511,3.2534,7.5416,6.446,0.4261,0.084,5.0992,5.1698,0.3795,0.825,accept,accept,False,5.0992,5.0992,0.0
2010-03-01,Woomera,49,0,0,night,0.0052,low,0.521,0.5215,0.7538,9.3231,33.5241,0.7942,1.8738,30.8664,28.7738,10.2184,10.212,19.9123,19.9126,15.4022,14.4886,accept,accept,False,19.9123,19.9123,0.0
2013-03-05,Ballarat,6,1,1,morning,0.2258,low,0.5581,0.6079,0.9502,1.6787,9.0072,0.1609,1.6526,10.2492,10.9561,2.513,2.2364,7.6752,7.6778,6.1032,4.7041,accept,accept,False,7.6752,7.6752,0.0
2008-09-10,Canberra,10,2,0,night,0.0663,low,0.3818,0.3926,0.6475,3.9114,13.5152,0.3524,1.5037,15.1568,14.6431,2.7702,2.6902,10.6629,10.6647,6.2827,5.5272,accept,accept,False,10.6629,10.6629,0.0
2016-08-12,Cairns,9,4,3,evening,0.2776,low,0.6607,0.7252,0.8789,5.25,17.1177,1.6162,0.8892,18.4769,15.5976,5.7763,5.2665,12.1696,12.2019,9.6661,10.8103,accept,accept,False,12.1696,12.1696,0.0
2009-04-11,MountGinini,24,5,2,afternoon,0.4673,moderate,0.4519,0.5756,0.9073,7.9765,19.889,1.7047,3.7104,23.3216,19.6091,6.5458,5.3166,15.2777,15.3333,9.5697,6.3192,accept,accept,False,15.2777,15.2777,0.0
2012-05-11,Mildura,21,4,3,evening,0.0624,low,0.7518,0.7618,0.9765,4.0101,14.8386,1.2968,1.3256,15.8459,11.9969,3.9728,3.9121,10.6492,10.6553,7.4176,8.2502,accept,accept,False,10.6492,10.6492,0.0
2015-04-10,BadgerysCreek,5,4,3,evening,0.4344,moderate,0.6085,0.7214,0.9234,3.1883,9.0125,0.4282,2.0561,12.2895,13.6596,4.6596,3.878,8.968,8.9811,7.3934,7.6004,accept,accept,False,8.968,8.968,0.0
2016-08-25,Moree,22,3,2,afternoon,0.6254,high,0.6635,0.8415,1.0747,4.1328,16.3204,1.7655,0.525,16.6339,18.7902,8.6806,6.9852,10.8925,10.9675,14.4741,11.8595,relocate,relocate,False,14.4741,14.4741,0.0
2012-02-16,Sydney,38,3,2,afternoon,0.0364,low,0.4821,0.4872,0.7501,1.6157,9.8491,0.4264,1.6081,10.5179,11.8735,2.2479,2.2173,7.6904,7.6915,5.3899,4.7605,accept,accept,False,7.6904,7.6904,0.0
2009-04-19,Canberra,10,6,0,night,0.1626,low,0.5865,0.6195,0.8273,1.7329,7.6904,0.9783,2.5172,9.7695,8.8279,1.4942,1.3463,7.0927,7.1044,2.9302,2.6068,accept,accept,False,7.0927,7.0927,0.0
2010-04-27,Portland,34,1,0,night,0.6451,high,0.3436,0.5286,0.6511,3.1324,12.115,0.8481,1.3008,13.517,16.0973,4.4529,2.9429,9.4222,9.4593,7.3373,6.1015,accept,accept,False,9.4222,9.4222,0.0
2012-11-12,CoffsHarbour,12,0,2,afternoon,0.0392,low,0.4443,0.4499,0.7655,0.8,7.0257,0.5492,1.331,8.2308,9.4326,0.9909,0.9642,6.259,6.2606,4.3088,3.5072,accept,accept,False,6.259,6.259,0.0
2016-10-13,Cairns,9,3,2,afternoon,0.4137,moderate,0.5745,0.6807,0.8879,2.2808,8.7411,1.3272,1.7383,10.9503,11.4003,3.1575,2.5438,7.6867,7.7254,5.902,4.9867,accept,accept,False,7.6867,7.6867,0.0
2011-02-02,Cairns,9,2,2,afternoon,0.9955,very_high,0.6073,0.9255,0.9682,2.7019,9.3896,1.6794,2.4464,11.7912,11.9855,4.9612,3.0276,8.0731,8.1803,6.0881,4.7828,accept,accept,False,8.0731,8.0731,0.0
2009-05-05,NorfolkIsland,28,1,3,evening,0.2094,low,0.6002,0.6455,1.0058,12.3738,25.9159,0.3892,1.9409,31.7892,29.9656,12.6503,11.9614,21.2456,21.2516,20.5974,19.4144,accept,accept,False,21.2456,21.2456,0.0
2011-12-29,Albany,2,3,2,afternoon,0.3653,moderate,0.3419,0.4328,0.6602,8.657,20.8366,0.8495,6.2083,24.6383,26.3341,7.9135,6.7001,16.4783,16.5003,7.555,5.3633,accept,accept,False,16.4783,16.4783,0.0
2010-05-03,Watsonia,45,0,2,afternoon,0.1394,low,0.4554,0.4827,0.7811,5.2368,6.6002,1.404,4.0831,14.0417,18.0098,4.9191,4.6702,9.9326,9.947,6.6615,5.0815,accept,accept,False,9.9326,9.9326,0.0
2011-06-24,Dartmoor,13,4,2,afternoon,0.9025,very_high,0.391,0.6724,0.8568,6.8905,22.8977,0.1162,1.1066,23.1192,27.9899,12.0006,8.0063,15.5968,15.6037,17.525,12.7082,relocate,accept,True,17.525,15.5968,1.9281
2015-06-20,SalmonGums,37,5,1,morning,0.752,high,0.5637,0.7878,1.1385,1.7202,8.8906,1.1937,3.5733,10.2563,10.2724,3.106,1.9389,7.2544,7.3142,4.6091,2.1675,accept,accept,False,7.2544,7.2544,0.0
2014-01-08,GoldCoast,15,2,0,night,0.901,very_high,0.3708,0.6517,0.7562,4.2131,9.9986,1.6165,0.5,14.0871,15.7887,5.2957,3.0472,9.6389,9.7337,9.0685,7.1169,accept,accept,False,9.6389,9.6389,0.0
2009-01-30,GoldCoast,15,4,1,morning,0.8809,very_high,0.4802,0.7533,0.9441,6.3314,23.2138,1.2607,1.3948,22.4972,19.6802,8.354,5.6291,14.6658,14.7382,12.6622,9.2986,accept,accept,False,14.6658,14.6658,0.0
2014-04-14,Sale,36,0,1,morning,0.1268,low,0.4911,0.5153,0.8275,1.7339,7.7568,1.1543,0.5,9.7986,11.2635,2.1389,2.0006,7.0342,7.045,6.792,5.7311,accept,accept,False,7.0342,7.0342,0.0
2011-01-11,Adelaide,1,1,1,morning,0.7294,high,0.5266,0.7423,0.9342,1.0745,5.0761,0.809,2.6422,7.7826,7.1239,1.0701,0.291,5.9763,6.0157,2.1355,1.1593,accept,accept,False,5.9763,5.9763,0.0
2014-06-15,Watsonia,45,6,3,evening,0.7638,high,0.5269,0.7554,1.0316,4.8607,13.303,1.5024,1.3012,16.3492,18.696,7.8061,5.6403,11.0161,11.0924,13.0408,11.1868,relocate,relocate,False,13.0408,13.0408,0.0
2010-10-19,Walpole,44,1,1,morning,0.1319,low,0.5877,0.6131,0.7051,1.195,5.4327,0.2356,0.6004,8.095,11.7378,2.9377,2.7864,6.4076,6.4099,6.1235,6.566,accept,relocate,True,6.4076,6.1235,0.2842
2009-04-10,Penrith,31,4,0,night,0.2443,low,0.4755,0.5305,0.7234,5.5702,20.4941,0.3655,3.0343,20.3272,19.4023,6.0015,5.4608,13.7354,13.7419,8.0383,7.2447,accept,accept,False,13.7354,13.7354,0.0
2014-02-06,Sale,36,3,1,morning,0.0071,low,0.5973,0.598,0.8647,7.8872,24.5918,1.1152,0.6815,25.1763,36.5056,15.1865,15.1743,16.4769,16.4775,23.887,21.9671,relocate,relocate,False,23.887,23.887,0.0
2014-03-25,Albany,2,1,1,morning,0.2637,low,0.4526,0.513,0.7645,1.7822,8.6672,1.3869,2.8341,10.2462,11.4101,2.1929,1.8431,7.1818,7.2082,3.8281,2.9218,accept,accept,False,7.1818,7.1818,0.0
2010-11-29,Albany,2,0,2,afternoon,0.0188,low,0.27,0.2722,0.4556,1.9024,10.0813,1.7916,2.1039,11.0024,10.2054,0.3984,0.3869,7.4347,7.4372,2.0112,1.9765,accept,accept,False,7.4347,7.4347,0.0
2010-02-06,Brisbane,8,5,2,afternoon,0.6895,high,0.6416,0.8426,1.0754,7.7357,23.1272,2.637,1.4974,24.3566,22.4247,10.9531,8.6672,15.3747,15.4969,16.3038,12.8772,relocate,accept,True,16.3038,15.3747,0.9291
2009-09-16,Dartmoor,13,2,3,evening,0.8635,very_high,0.5595,0.8259,1.0103,4.0258,15.6154,0.4649,3.3167,16.1933,22.5856,10.8616,7.8114,11.1842,11.2104,13.5001,11.9941,relocate,relocate,False,13.5001,13.5001,0.0
2015-03-10,Melbourne,19,1,2,afternoon,0.213,low,0.5238,0.5701,0.809,7.0683,22.7781,0.2833,0.8062,23.3089,25.965,9.5683,8.9586,15.6657,15.6701,15.7572,14.1131,relocate,accept,True,15.7572,15.6657,0.0915
2017-06-13,Darwin,14,1,1,morning,0.0021,low,0.4681,0.4683,0.7389,3.2201,9.2194,1.514,0.5,12.4193,11.8614,2.129,2.1281,8.5871,8.5874,6.5494,5.9013,accept,accept,False,8.5871,8.5871,0.0
2011-06-24,Ballarat,6,4,3,evening,0.4042,moderate,0.6835,0.7867,1.0864,3.405,10.0687,0.5627,0.6427,13.0256,13.1491,4.8085,4.121,9.3454,9.3614,9.9117,9.4142,relocate,relocate,False,9.9117,9.9117,0.0
2014-09-10,Richmond,35,2,0,night,0.0232,low,0.2809,0.2838,0.5784,3.9504,15.5828,0.7423,6.1559,16.0779,17.7599,3.0184,2.9923,10.9903,10.9916,2.0054,0.7485,accept,accept,False,10.9903,10.9903,0.0
2011-11-10,Williamtown,46,3,0,night,0.555,moderate,0.3823,0.5356,0.7146,10.7958,46.8535,1.5428,0.8987,38.4528,39.9406,15.6341,12.5299,23.8999,23.9587,22.353,18.6913,accept,accept,False,23.8999,23.8999,0.0
2011-12-29,CoffsHarbour,12,3,0,night,0.3604,moderate,0.3209,0.4103,0.6482,6.7061,17.3962,0.9636,1.2436,20.5596,22.4487,6.0471,5.0302,13.8591,13.8838,10.8359,8.8451,accept,accept,False,13.8591,13.8591,0.0
2014-02-24,Mildura,21,0,3,evening,0.0015,low,0.7333,0.7334,1.0373,2.2197,7.6236,1.2903,4.7049,10.3985,13.5809,4.698,4.6973,7.3996,7.3997,5.2878,5.582,accept,accept,False,7.3996,7.3996,0.0
2017-05-07,Darwin,14,6,2,afternoon,0.0228,low,0.4117,0.4146,0.6202,4.4321,11.8331,0.3687,1.2451,15.1533,13.1955,2.3467,2.3277,10.7703,10.771,5.5683,5.342,accept,accept,False,10.7703,10.7703,0.0
2010-01-12,Portland,34,1,0,night,0.8481,very_high,0.2779,0.5383,0.6602,3.0521,9.0865,1.14,2.6948,12.1366,13.7956,3.4555,1.6339,8.5586,8.6221,4.5859,2.9055,accept,accept,False,8.5586,8.5586,0.0
2010-04-05,Witchcliffe,47,0,2,afternoon,0.809,very_high,0.4657,0.7113,0.8571,2.6302,11.1287,1.1146,5.0652,12.4249,12.786,4.1041,2.5124,8.6263,8.6858,2.8762,1.249,accept,accept,False,8.6263,8.6263,0.0
2015-12-01,CoffsHarbour,12,1,0,night,0.4568,moderate,0.2365,0.3567,0.5687,5.4642,15.8267,1.908,2.3946,18.2239,17.5886,3.6102,2.5386,11.9622,12.0231,6.0495,4.4376,accept,accept,False,11.9622,11.9622,0.0
2015-09-11,PerthAirport,33,4,3,evening,0.9022,very_high,0.6463,0.9276,1.1433,4.7254,10.4335,2.3831,1.7055,14.9614,17.966,8.953,6.3902,9.8891,10.0289,13.2223,11.5289,relocate,relocate,False,13.2223,13.2223,0.0
2014-12-23,Nhil,26,1,1,morning,0.1231,low,0.5523,0.5756,0.7972,1.8,7.7976,0.5257,3.103,9.905,8.1299,0.9579,0.8617,7.3687,7.3735,1.6679,1.3501,accept,accept,False,7.3687,7.3687,0.0
2010-02-24,Tuggeranong,41,2,1,morning,0.0563,low,0.6533,0.662,0.9208,3.9576,13.0099,0.3097,0.5,15.0069,10.2802,2.4553,2.4096,10.6126,10.6139,6.7272,6.1855,accept,accept,False,10.6126,10.6126,0.0
2011-08-12,Wollongong,48,4,1,morning,0.8977,very_high,0.5442,0.8238,0.9198,2.5668,9.6005,1.5649,1.2319,11.6975,12.5593,4.6949,2.9144,8.042,8.1334,7.5119,6.0333,accept,accept,False,8.042,8.042,0.0
2012-09-02,Dartmoor,13,6,2,afternoon,0.4571,moderate,0.4025,0.5227,0.7168,5.23,18.9206,0.1491,4.1296,19.2072,19.5774,6.006,4.8123,13.1639,13.1686,6.8308,5.2476,accept,accept,False,13.1639,13.1639,0.0
2017-01-10,Tuggeranong,41,1,1,morning,0.397,moderate,0.5962,0.697,0.9451,2.4775,10.3544,1.5193,0.9087,11.8934,9.9557,2.4596,1.9505,8.1439,8.1865,6.1827,5.1703,accept,accept,False,8.1439,8.1439,0.0
2015-01-21,Perth,32,2,0,night,0.0635,low,0.5606,0.5708,0.8872,3.4205,19.2006,1.517,1.9339,16.8819,13.2255,3.4067,3.3383,10.968,10.9752,6.9344,5.7676,accept,accept,False,10.968,10.968,0.0
2015-03-22,Dartmoor,13,6,0,night,0.6302,high,0.3107,0.4904,0.7297,2.6873,11.1397,0.5327,2.7175,12.5065,16.6286,4.3766,2.8617,8.9262,8.949,6.8207,4.4275,accept,accept,False,8.9262,8.9262,0.0
2008-11-25,Brisbane,8,1,3,evening,0.3941,moderate,0.6394,0.7393,0.9479,0.8038,4.8354,0.1071,1.3665,7.316,8.1167,1.6251,1.2139,5.9663,5.9693,4.3504,4.5041,accept,accept,False,5.9663,5.9663,0.0
2012-09-19,Dartmoor,13,2,3,evening,0.4621,moderate,0.4999,0.6218,0.8977,10.4543,25.7888,1.752,2.7427,29.1446,30.3962,12.5097,10.631,18.8602,18.9167,18.0457,16.9872,accept,accept,False,18.8602,18.8602,0.0
2015-09-12,Williamtown,46,5,3,evening,0.0592,low,0.6398,0.6492,0.9567,3.9262,13.7764,2.1755,2.1145,15.2864,20.9315,7.971,7.8718,9.9684,9.9781,12.9159,13.2072,relocate,relocate,False,12.9159,12.9159,0.0
2009-05-18,Cairns,9,0,1,morning,0.0546,low,0.5363,0.5447,0.803,10.6876,36.5879,2.0699,9.4579,33.9951,40.5667,16.1145,15.9408,21.3194,21.3279,15.2465,13.1281,accept,accept,False,21.3194,21.3194,0.0
2010-06-01,Ballarat,6,1,3,evening,0.2323,low,0.6486,0.7002,0.9748,4.0553,15.1483,2.185,3.1433,16.0369,20.9345,8.514,7.9662,10.3864,10.4232,11.9886,12.1618,relocate,relocate,False,11.9886,11.9886,0.0
2010-05-19,Sydney,38,2,3,evening,0.5912,moderate,0.4929,0.6587,0.887,6.1406,15.896,0.2344,2.1159,19.1662,16.5405,5.7495,4.3585,13.3095,13.3189,9.0114,8.4721,accept,accept,False,13.3095,13.3095,0.0
2012-04-07,Walpole,44,5,3,evening,0.059,low,0.7371,0.7464,1.1532,2.3407,11.3743,0.8252,0.5,12.1371,10.4063,2.9673,2.9182,8.5326,8.5362,8.2077,7.7958,accept,accept,False,8.5326,8.5326,0.0
2017-01-04,Albany,2,2,1,morning,0.7627,high,0.4394,0.6675,0.8483,2.3881,10.581,1.101,0.975,11.868,13.4412,4.1696,2.6153,8.2864,8.3422,7.8477,5.9952,accept,accept,False,8.2864,8.2864,0.0
